ID	First name	Last Name	Email	Gender	Student type	Exam result	Homework sent	Homework evaluated	Teamwork	Attendances	Bonus
293	Walter	Bryant	wbryant84@networksolutions.com	Male	Online	237	5	8	14.3	4	3.24
294	Katherine	Garcia	kgarcia85@mozilla.com	Female	Online	226	7	8	4.7	8	4.19
295	Virginia	Andrews	vandrews86@furl.net	Female	Online	38	4	4	10.5	9	0.52
296	Louise	Gonzalez	lgonzalez87@berkeley.edu	Female	Online	3	1	10	12.9	5	0.1
297	Janice	Jones	jjones88@newsvine.com	Female	Onsite	142	0	0	1.3	4	0.29
298	Sean	Grant	sgrant89@ning.com	Male	Onsite	172	9	10	0.8	8	0.47
299	Dorothy	Clark	dclark8a@netlog.com	Female	Onsite	62	1	0	12.9	1	3.18
300	Jean	Watkins	jwatkins8b@t-online.de	Female	Online	257	10	9	1.7	9	0.36
301	Jessica	Daniels	jdaniels8c@quantcast.com	Female	Onsite	153	0	10	2.7	8	2.46
302	Virginia	Bryant	vbryant8d@mayoclinic.com	Female	Onsite	86	10	8	6.9	7	4.16
303	Andrea	Taylor	ataylor8e@hexun.com	Female	Onsite	179	9	6	11.8	9	0.82
304	Janice	Meyer	jmeyer8f@ibm.com	Female	Online	19	8	4	1.7	7	4.69
305	Betty	Washington	bwashington8g@newyorker.com	Female	Online	278	5	5	7.4	2	0.06
306	Amanda	Holmes	aholmes8h@oakley.com	Female	Onsite	268	3	0	10.3	7	4.4
307	Jose	Snyder	jsnyder8i@dot.gov	Male	Online	197	8	10	11.9	2	1.33
308	Shawn	Day	sday8j@wp.com	Male	Onsite	299	6	0	12.4	4	3.5
309	Gary	Richardson	grichardson8k@gmpg.org	Male	Onsite	265	3	8	14.8	1	0.69
310	Rachel	Harris	rharris8l@geocities.com	Female	Online	145	10	8	2.2	7	4.77
311	Louis	Coleman	lcoleman8m@wufoo.com	Male	Onsite	349	4	7	8.1	6	4.76
312	Judith	Black	jblack8n@indiegogo.com	Female	Online	209	4	8	7.6	10	4.38
313	Carl	Nelson	cnelson8o@51.la	Male	Onsite	131	2	1	4.9	8	3.58
314	Carol	Simmons	csimmons8p@forbes.com	Female	Online	371	10	7	6.0	5	1.56
315	Roy	Mason	rmason8q@prlog.org	Male	Onsite	38	6	2	4.0	4	0.87
316	Evelyn	Lawson	elawson8r@google.fr	Female	Onsite	181	0	1	6.2	4	2.11
317	Evelyn	Morgan	emorgan8s@google.co.jp	Female	Onsite	116	0	5	3.1	4	2.87
318	Bobby	King	bking8t@digg.com	Male	Online	186	9	10	9.7	9	1.8
319	Samuel	Kelly	skelly8u@hibu.com	Male	Online	69	5	7	11.1	6	0.27
320	John	Kim	jkim8v@friendfeed.com	Male	Online	134	2	0	14.8	5	1.11
321	Jean	George	jgeorge8w@narod.ru	Female	Onsite	5	5	5	11.3	2	0.21
322	Kathy	Williamson	kwilliamson8x@posterous.com	Female	Onsite	139	7	5	11.8	2	1.83
323	Fred	Rodriguez	frodriguez8y@weebly.com	Male	Onsite	236	9	5	0.8	7	2.62
324	Joyce	Lynch	jlynch8z@ifeng.com	Female	Online	97	8	5	5.3	5	2.11
325	Justin	Palmer	jpalmer90@chronoengine.com	Male	Online	285	7	9	0.1	6	1.06
326	Kathleen	Parker	kparker91@nationalgeographic.com	Female	Onsite	133	10	9	3.6	9	3.91
327	Benjamin	Gutierrez	bgutierrez92@illinois.edu	Male	Onsite	329	5	3	1.1	5	1.3
328	Diane	Duncan	dduncan93@discuz.net	Female	Online	212	4	3	9.8	10	1.05
329	Jean	Wallace	jwallace94@sbwire.com	Female	Online	298	8	10	9.8	7	1.68
330	Julie	Rogers	jrogers95@comsenz.com	Female	Onsite	367	3	2	11.5	6	2.81
331	Jessica	Grant	jgrant96@twitter.com	Female	Onsite	86	6	3	11.4	8	4.5
332	Thomas	Ramos	tramos97@ftc.gov	Male	Online	138	9	3	11.8	10	1.59
333	Christine	Henderson	chenderson98@stanford.edu	Female	Online	104	7	3	6.7	8	3.64
334	Ernest	Morris	emorris99@wix.com	Male	Onsite	366	1	6	13.9	4	4.54
335	Catherine	Alvarez	calvarez9a@lycos.com	Female	Online	68	2	8	3.1	8	2.32
336	Diana	Hayes	dhayes9b@nymag.com	Female	Online	227	3	2	13.2	3	1.3
337	Rachel	Flores	rflores9c@blogspot.com	Female	Online	106	8	10	0.0	8	1.23
338	Eugene	Ryan	eryan9d@networkadvertising.org	Male	Online	97	9	2	4.0	4	0.78
339	Charles	Lewis	clewis9e@godaddy.com	Male	Online	52	0	5	10.5	10	4.9
340	George	Washington	gwashington9f@patch.com	Male	Onsite	335	4	3	2.1	9	3.55
341	Lawrence	Roberts	lroberts9g@smh.com.au	Male	Onsite	148	2	1	14.9	1	1.36
342	Larry	Johnson	ljohnson9h@bigcartel.com	Male	Onsite	287	2	5	9.9	5	0.95
343	Diane	Bishop	dbishop9i@reference.com	Female	Onsite	218	9	9	8.5	6	3.17
344	Paula	Davis	pdavis9j@buzzfeed.com	Female	Online	9	2	1	11.0	1	2.47
345	Kathryn	Fernandez	kfernandez9k@51.la	Female	Onsite	385	5	1	4.7	10	3.36
346	Dorothy	Ryan	dryan9l@github.io	Female	Online	237	0	4	5.1	10	2.64
347	Jennifer	Elliott	jelliott9m@psu.edu	Female	Online	381	6	9	14.6	2	1.93
348	Dennis	Carter	dcarter9n@people.com.cn	Male	Online	125	10	9	8.6	6	1.52
349	Keith	Cunningham	kcunningham9o@harvard.edu	Male	Onsite	153	5	6	13.5	4	4.34
350	John	Arnold	jarnold9p@1und1.de	Male	Online	22	0	2	11.3	8	0.15
351	Katherine	Patterson	kpatterson9q@cargocollective.com	Female	Online	382	9	0	1.4	3	2.01
352	Teresa	Larson	tlarson9r@tumblr.com	Female	Online	41	0	10	12.7	2	4.95
353	Mary	Bryant	mbryant9s@discovery.com	Female	Onsite	138	6	10	14.3	3	2.98
354	Katherine	Carter	kcarter9t@disqus.com	Female	Online	64	5	9	4.7	2	2.5
355	Heather	Cook	hcook9u@economist.com	Female	Online	275	8	2	7.8	0	3.6
356	Justin	Bell	jbell9v@altervista.org	Male	Online	253	0	5	7.7	9	1.43
357	Doris	West	dwest9w@nydailynews.com	Female	Online	24	6	2	0.3	6	0.12
358	William	Gonzales	wgonzales9x@freewebs.com	Male	Online	386	1	2	1.4	7	0.9
359	Ralph	Lopez	rlopez9y@msn.com	Male	Onsite	250	2	1	11.0	7	3.26
360	Andrew	Williamson	awilliamson9z@1688.com	Male	Online	256	3	9	4.9	10	1.18
361	Gregory	Henderson	ghendersona0@studiopress.com	Male	Online	29	7	7	14.1	0	2.8
362	Thomas	Powell	tpowella1@ustream.tv	Male	Online	354	4	5	1.3	3	4.72
363	Anthony	Bradley	abradleya2@latimes.com	Male	Onsite	302	4	2	5.2	8	0.19
364	Matthew	Sims	msimsa3@furl.net	Male	Online	118	0	6	13.2	3	4.55
365	Kevin	Ellis	kellisa4@webeden.co.uk	Male	Onsite	209	7	7	0.7	4	3.18
366	Alice	Jackson	ajacksona5@com.com	Female	Online	350	2	1	12.4	0	2.68
367	Joshua	Butler	jbutlera6@toplist.cz	Male	Online	253	0	5	7.2	4	4.57
368	Catherine	Day	cdaya7@oracle.com	Female	Onsite	299	2	1	4.5	10	0.89
369	Judith	Marshall	jmarshalla8@va.gov	Female	Online	170	0	1	13.9	0	0.66
370	Sara	Medina	smedinaa9@google.com.hk	Female	Onsite	313	5	10	5.7	8	1.26
371	Frances	Ford	ffordaa@netvibes.com	Female	Online	19	6	1	4.5	9	1.07
372	Arthur	Meyer	ameyerab@pcworld.com	Male	Online	239	10	7	4.3	0	2.29
373	Marilyn	Elliott	melliottac@yellowpages.com	Female	Online	283	4	5	3.8	1	0.56
374	Sarah	Hall	shallad@wix.com	Female	Onsite	204	8	9	10.3	2	2.99
375	Peter	Graham	pgrahamae@mlb.com	Male	Onsite	266	6	9	13.1	5	1.83
376	Paul	Wells	pwellsaf@reddit.com	Male	Onsite	233	2	0	0.8	1	0.74
377	Raymond	Parker	rparkerag@census.gov	Male	Online	398	3	4	4.4	10	3.6
378	Patrick	Harrison	pharrisonah@ocn.ne.jp	Male	Onsite	175	3	9	7.2	2	4.46
379	Earl	Richardson	erichardsonai@marketwatch.com	Male	Onsite	230	2	2	1.5	3	0.65
380	Andrea	Andrews	aandrewsaj@unesco.org	Female	Onsite	297	5	5	9.0	9	0.25
381	Shirley	Richards	srichardsak@accuweather.com	Female	Onsite	203	1	5	9.7	9	1.27
382	Ruth	Lee	rleeal@jugem.jp	Female	Online	95	1	10	9.4	8	2.55
383	Linda	Moore	lmooream@lycos.com	Female	Onsite	72	0	7	0.5	1	0.65
384	Cheryl	Cook	ccookan@discuz.net	Female	Onsite	368	3	1	10.5	1	2.55
385	Deborah	Ross	drossao@purevolume.com	Female	Online	237	3	4	13.0	8	2.65
386	Henry	Wells	hwellsap@ucla.edu	Male	Onsite	121	6	7	13.3	9	1.12
387	Henry	Warren	hwarrenaq@liveinternet.ru	Male	Online	114	9	8	7.6	1	3.06
388	Carolyn	Frazier	cfrazierar@jimdo.com	Female	Onsite	243	0	2	2.6	10	0.29
389	Martha	Sanders	msandersas@ustream.tv	Female	Online	205	8	10	4.3	8	4.99
390	Gloria	Riley	grileyat@admin.ch	Female	Online	294	4	7	7.6	1	2.87
391	Albert	Mason	amasonau@whitehouse.gov	Male	Onsite	128	1	8	1.5	7	2.03
392	Teresa	George	tgeorgeav@sitemeter.com	Female	Onsite	100	7	10	12.3	0	4.12
393	Sarah	White	swhiteaw@homestead.com	Female	Onsite	218	1	6	7.8	8	2.93
394	Johnny	Kelly	jkellyax@i2i.jp	Male	Onsite	224	7	3	8.2	0	0.99
395	Kathleen	Kim	kkimay@mlb.com	Female	Onsite	358	7	2	7.7	1	4.2
396	Earl	Sims	esimsaz@google.es	Male	Onsite	248	9	4	10.6	1	3.49
397	Gerald	Sims	gsimsb0@behance.net	Male	Online	164	6	9	4.8	0	1.99
398	Ruby	Peters	rpetersb1@freewebs.com	Female	Online	160	7	9	0.5	4	0.63
399	Sandra	Smith	ssmithb2@netvibes.com	Female	Onsite	84	7	9	4.1	4	1.95
400	Andrea	Hughes	ahughesb3@is.gd	Female	Online	347	4	7	3.2	4	2.56
401	Betty	Payne	bpayneb4@prnewswire.com	Female	Onsite	18	9	6	1.3	3	0.98
402	Janice	Bishop	jbishopb5@feedburner.com	Female	Onsite	112	5	1	11.3	0	4.18
403	Linda	Sanchez	lsanchezb6@nature.com	Female	Online	286	0	6	4.6	3	1.05
404	Peter	Ward	pwardb7@tinyurl.com	Male	Onsite	93	6	4	6.3	10	0.45
405	Robert	Carter	rcarterb8@hexun.com	Male	Onsite	107	8	5	0.6	8	2.34
406	Rachel	Ramos	rramosb9@ebay.com	Female	Online	126	7	1	2.4	7	4.61
407	Carlos	Sullivan	csullivanba@amazon.co.jp	Male	Onsite	256	10	1	9.9	10	2.04
408	Matthew	Lynch	mlynchbb@netvibes.com	Male	Onsite	70	7	5	0.7	4	0.13
409	Peter	Mitchell	pmitchellbc@marriott.com	Male	Onsite	219	8	5	2.4	3	3.61
410	Bonnie	Morales	bmoralesbd@mac.com	Female	Onsite	345	9	6	12.5	9	4.58
411	Jacqueline	Harvey	jharveybe@360.cn	Female	Online	2	8	8	12.3	5	4.57
412	Carolyn	Cunningham	ccunninghambf@indiatimes.com	Female	Online	121	2	3	8.8	2	3.04
413	Todd	Matthews	tmatthewsbg@cyberchimps.com	Male	Online	308	10	0	12.6	1	4.22
414	Clarence	Cruz	ccruzbh@wordpress.org	Male	Onsite	147	10	2	0.6	2	4.07
415	Kathleen	Robinson	krobinsonbi@woothemes.com	Female	Online	236	7	7	1.2	7	0.22
416	Craig	Reynolds	creynoldsbj@sfgate.com	Male	Onsite	71	9	2	11.1	0	3.69
417	Russell	Perkins	rperkinsbk@blogtalkradio.com	Male	Onsite	213	6	3	2.3	8	3.2
418	Maria	Ramos	mramosbl@un.org	Female	Online	215	8	8	1.4	7	1.46
419	Melissa	Ryan	mryanbm@linkedin.com	Female	Onsite	220	4	4	12.4	3	2.55
420	Theresa	Anderson	tandersonbn@about.me	Female	Online	255	1	1	2.4	5	1.56
421	Joyce	Martinez	jmartinezbo@joomla.org	Female	Onsite	347	4	3	3.2	8	4.51
422	Dorothy	Simpson	dsimpsonbp@sohu.com	Female	Online	273	6	4	12.4	5	1.55
423	Joan	Turner	jturnerbq@msn.com	Female	Online	79	10	2	10.4	9	2.53
424	Jeffrey	Duncan	jduncanbr@skyrock.com	Male	Onsite	117	10	10	4.3	1	4.32
425	Rebecca	Meyer	rmeyerbs@mac.com	Female	Online	134	5	9	14.1	8	1.2
426	Brandon	Shaw	bshawbt@gov.uk	Male	Onsite	87	9	3	0.7	5	3.4
427	Peter	Patterson	ppattersonbu@google.it	Male	Onsite	120	6	10	4.5	1	1.32
428	Diana	Jenkins	djenkinsbv@jugem.jp	Female	Onsite	160	1	8	9.0	8	0.79
429	Jason	Daniels	jdanielsbw@exblog.jp	Male	Onsite	36	10	6	2.1	7	4.83
430	Edward	George	egeorgebx@mapquest.com	Male	Onsite	97	7	1	6.8	9	0.12
431	Katherine	Butler	kbutlerby@wired.com	Female	Onsite	168	7	8	5.1	0	2.19
432	Anthony	Fox	afoxbz@mail.ru	Male	Onsite	284	7	2	8.6	2	0.82
433	Paul	Austin	paustinc0@storify.com	Male	Online	31	4	1	12.2	3	3.35
434	Bobby	Reid	breidc1@bloglovin.com	Male	Online	172	8	5	6.6	4	1.85
435	Frank	Knight	fknightc2@i2i.jp	Male	Onsite	76	8	0	11.1	5	1.75
436	Gloria	Chapman	gchapmanc3@mapy.cz	Female	Onsite	288	5	5	13.3	7	3.22
437	Martin	Kelly	mkellyc4@over-blog.com	Male	Online	359	7	7	11.9	10	0.01
438	Norma	Porter	nporterc5@nps.gov	Female	Online	388	0	5	8.9	7	3.11
439	Catherine	Palmer	cpalmerc6@hostgator.com	Female	Online	86	2	6	7.7	9	4.39
440	Bobby	Fowler	bfowlerc7@nymag.com	Male	Onsite	275	10	7	11.8	4	4.53
441	Betty	Vasquez	bvasquezc8@elegantthemes.com	Female	Onsite	201	4	0	10.7	7	3.23
442	Marilyn	Jones	mjonesc9@tiny.cc	Female	Online	69	8	3	13.3	6	4.8
443	Harry	Shaw	hshawca@dell.com	Male	Onsite	306	10	7	7.1	10	0.39
444	Timothy	Peters	tpeterscb@scientificamerican.com	Male	Online	293	8	3	12.5	1	2.6
445	Jerry	Gomez	jgomezcc@soup.io	Male	Onsite	380	7	3	5.0	10	1.41
446	Jimmy	Russell	jrussellcd@dot.gov	Male	Onsite	249	3	7	5.2	10	1.48
447	Phillip	Lynch	plynchce@europa.eu	Male	Onsite	112	4	8	11.9	6	2.84
448	Peter	Payne	ppaynecf@nba.com	Male	Onsite	242	4	2	13.2	8	1.95
449	Brandon	Tucker	btuckercg@usgs.gov	Male	Online	374	7	0	6.6	8	4.37
450	Lawrence	Boyd	lboydch@salon.com	Male	Onsite	151	3	2	3.0	2	3.05
451	Dorothy	Stevens	dstevensci@va.gov	Female	Online	65	4	2	10.3	6	3.17
452	Charles	Thompson	cthompsoncj@ed.gov	Male	Onsite	164	2	0	1.2	2	2.0
453	Carolyn	Edwards	cedwardsck@opensource.org	Female	Online	225	7	2	6.6	6	1.2
454	Christine	Arnold	carnoldcl@home.pl	Female	Online	269	4	7	6.6	10	2.73
455	Julie	Price	jpricecm@reference.com	Female	Online	245	9	5	12.1	1	4.5
456	Michelle	Carter	mcartercn@plala.or.jp	Female	Online	63	2	4	7.7	4	4.44
457	Rachel	Rose	rroseco@japanpost.jp	Female	Online	249	9	5	11.6	4	4.62
458	Willie	Hamilton	whamiltoncp@salon.com	Male	Onsite	307	1	9	0.5	4	3.5
459	Jerry	Wheeler	jwheelercq@wix.com	Male	Online	32	6	6	10.1	8	0.74
460	Melissa	Gray	mgraycr@skyrock.com	Female	Online	50	3	4	7.2	1	4.1
461	Ruby	Johnston	rjohnstoncs@cbc.ca	Female	Onsite	61	4	5	14.2	1	0.92
462	Diana	Flores	dfloresct@boston.com	Female	Online	56	9	5	6.1	5	1.65
463	Tina	Berry	tberrycu@cloudflare.com	Female	Online	373	10	6	5.6	8	3.37
464	Rebecca	Barnes	rbarnescv@sciencedaily.com	Female	Online	397	7	3	1.4	4	0.08
465	Ruby	Stephens	rstephenscw@joomla.org	Female	Onsite	307	1	2	8.5	10	4.77
466	Angela	Murray	amurraycx@ask.com	Female	Online	12	4	4	1.3	5	3.31
467	Mary	Fisher	mfishercy@jigsy.com	Female	Onsite	18	8	6	3.7	0	0.04
468	Bobby	Murray	bmurraycz@shareasale.com	Male	Online	96	10	10	0.6	6	4.99
469	Nicholas	Ward	nwardd0@berkeley.edu	Male	Online	121	6	10	14.6	1	2.87
470	George	Martinez	gmartinezd1@bbb.org	Male	Online	80	8	0	7.5	6	3.66
471	Frances	Hill	fhilld2@umich.edu	Female	Onsite	343	5	8	12.8	8	1.39
472	Alan	Welch	awelchd3@loc.gov	Male	Onsite	64	10	1	9.6	2	3.14
473	Frank	Gonzales	fgonzalesd4@nature.com	Male	Online	147	8	8	13.2	6	0.45
474	Carolyn	Miller	cmillerd5@nifty.com	Female	Online	209	2	2	9.4	2	4.45
475	Betty	Stone	bstoned6@dedecms.com	Female	Online	332	8	9	14.0	10	1.79
476	Jimmy	Murphy	jmurphyd7@wikimedia.org	Male	Online	350	7	1	2.2	7	1.58
477	Frank	Snyder	fsnyderd8@mozilla.org	Male	Onsite	341	9	0	5.7	2	1.67
478	Mildred	Pierce	mpierced9@ucoz.ru	Female	Onsite	202	9	7	12.0	0	0.94
479	Alan	Shaw	ashawda@sohu.com	Male	Online	385	0	0	6.8	8	2.5
480	Frances	Ray	fraydb@slideshare.net	Female	Onsite	61	2	3	11.8	8	1.19
481	Jason	Hamilton	jhamiltondc@ehow.com	Male	Onsite	391	7	5	12.8	7	3.84
482	Cynthia	Gray	cgraydd@mapquest.com	Female	Onsite	45	8	8	5.7	4	0.66
483	Jane	Bishop	jbishopde@t.co	Female	Online	277	0	8	2.4	9	0.51
484	Jesse	Ross	jrossdf@gnu.org	Male	Onsite	373	2	6	1.4	8	4.01
485	Chris	Carroll	ccarrolldg@blogspot.com	Male	Onsite	271	8	7	13.4	1	4.38
486	Jimmy	Reid	jreiddh@cnet.com	Male	Online	82	6	7	0.6	3	3.3
487	Joan	Bryant	jbryantdi@thetimes.co.uk	Female	Online	355	7	2	12.5	3	3.04
488	Frank	Ellis	fellisdj@clickbank.net	Male	Online	146	10	9	0.0	9	4.69
489	Philip	Hunter	phunterdk@w3.org	Male	Onsite	200	0	8	11.7	7	2.75
490	James	Grant	jgrantdl@walmart.com	Male	Onsite	246	10	7	3.9	9	3.51
491	Ruth	White	rwhitedm@chron.com	Female	Onsite	119	8	5	12.8	10	3.56
492	Bobby	Fowler	bfowlerdn@wired.com	Male	Online	137	0	1	1.6	9	0.5
493	Terry	Morgan	tmorgando@bloglines.com	Male	Onsite	49	10	6	6.3	4	0.73
494	Alan	Perkins	aperkinsdp@tuttocitta.it	Male	Onsite	387	2	2	0.3	1	1.02
495	Donald	Mendoza	dmendozadq@newsvine.com	Male	Online	42	0	10	6.8	1	0.53
496	Anne	Matthews	amatthewsdr@stumbleupon.com	Female	Onsite	52	5	0	7.0	6	3.04
497	Dorothy	Morris	dmorrisds@homestead.com	Female	Online	300	2	6	11.2	5	3.22
498	Amanda	Armstrong	aarmstrongdt@amazon.com	Female	Online	206	4	10	10.1	7	0.19
499	Bonnie	Wagner	bwagnerdu@paginegialle.it	Female	Online	17	8	9	9.2	8	3.98
500	Kenneth	Bishop	kbishopdv@wp.com	Male	Online	341	1	4	8.8	6	4.14
501	Heather	Morgan	hmorgandw@vk.com	Female	Onsite	87	6	3	10.1	5	3.94
502	Betty	Armstrong	barmstrongdx@google.pl	Female	Online	70	1	8	12.1	5	1.61
503	Arthur	Alexander	aalexanderdy@yellowbook.com	Male	Onsite	311	8	2	12.4	9	2.04
504	Victor	Harris	vharrisdz@imdb.com	Male	Onsite	262	6	5	11.3	4	2.64
505	Shirley	Boyd	sboyde0@arizona.edu	Female	Online	170	7	0	4.7	7	3.73
506	Nicole	Knight	nknighte1@1und1.de	Female	Online	317	0	0	3.1	8	0.26
507	Phyllis	Henderson	phendersone2@yellowbook.com	Female	Online	50	3	6	13.5	3	1.52
508	Theresa	Webb	twebbe3@bloomberg.com	Female	Onsite	87	3	6	7.3	7	3.05
509	Rebecca	Hudson	rhudsone4@about.me	Female	Onsite	198	2	4	13.0	4	1.45
510	Anthony	White	awhitee5@tamu.edu	Male	Onsite	351	2	10	8.4	10	3.76
511	Stephen	Lawrence	slawrencee6@cbc.ca	Male	Onsite	248	5	6	4.7	8	3.32
512	Norma	Roberts	nrobertse7@usnews.com	Female	Online	22	5	7	3.8	8	3.27
513	Samuel	Fisher	sfishere8@umn.edu	Male	Online	286	5	0	12.9	1	3.33
514	Nancy	Snyder	nsnydere9@cnn.com	Female	Onsite	199	10	7	4.1	1	4.9
515	Paul	Rose	proseea@pcworld.com	Male	Onsite	138	8	10	5.9	3	3.0
516	Kelly	Gray	kgrayeb@house.gov	Female	Online	4	8	6	14.1	4	0.23
517	Martha	Franklin	mfranklinec@reuters.com	Female	Onsite	119	7	10	0.3	8	0.61
518	Cheryl	Wallace	cwallaceed@exblog.jp	Female	Online	253	3	0	12.0	8	2.66
519	Sharon	Warren	swarrenee@so-net.ne.jp	Female	Onsite	386	10	4	12.0	8	0.53
520	Denise	Mason	dmasonef@zdnet.com	Female	Onsite	85	7	2	3.5	6	4.62
521	Larry	Garrett	lgarretteg@vkontakte.ru	Male	Onsite	328	1	4	14.6	0	0.66
522	Gerald	Wagner	gwagnereh@ovh.net	Male	Onsite	153	4	0	10.4	10	2.38
523	Philip	Powell	ppowellei@timesonline.co.uk	Male	Onsite	74	1	1	7.4	10	3.46
524	Jerry	Perkins	jperkinsej@state.gov	Male	Online	111	2	3	13.5	1	0.55
525	Eugene	Bishop	ebishopek@soup.io	Male	Online	203	10	1	7.9	8	4.44
526	Dorothy	Daniels	ddanielsel@aboutads.info	Female	Onsite	5	9	0	13.8	9	4.86
527	James	Dunn	jdunnem@freewebs.com	Male	Onsite	332	3	4	5.3	3	3.14
528	Patricia	Wilson	pwilsonen@google.es	Female	Onsite	206	5	3	8.9	8	4.3
529	Randy	Gutierrez	rgutierrezeo@comsenz.com	Male	Online	234	10	1	0.0	4	0.32
530	Mark	Diaz	mdiazep@sfgate.com	Male	Onsite	249	6	4	5.1	9	4.62
531	Earl	Nelson	enelsoneq@wunderground.com	Male	Online	276	4	8	9.8	9	2.56
532	Carlos	Davis	cdaviser@php.net	Male	Onsite	160	7	0	3.5	4	2.16
533	Robin	Webb	rwebbes@netvibes.com	Female	Online	248	6	8	8.2	10	1.79
534	Rebecca	Pierce	rpierceet@paypal.com	Female	Online	101	1	4	12.7	5	3.7
535	Shirley	Gray	sgrayeu@free.fr	Female	Onsite	352	7	3	7.9	2	2.41
536	Russell	Moore	rmooreev@cbslocal.com	Male	Online	182	5	2	8.7	6	1.71
537	Mary	Hughes	mhughesew@creativecommons.org	Female	Online	391	3	9	6.2	6	0.98
538	Karen	Harper	kharperex@google.ru	Female	Onsite	296	1	3	13.1	10	0.25
539	Lois	Scott	lscottey@who.int	Female	Online	261	4	4	0.3	2	4.71
540	Kevin	Phillips	kphillipsez@about.com	Male	Onsite	42	0	1	14.8	4	4.83
541	Lois	Burke	lburkef0@ucla.edu	Female	Online	67	5	3	10.9	5	0.14
542	Nancy	White	nwhitef1@acquirethisname.com	Female	Onsite	267	8	8	15.0	6	5.0
543	Arthur	Rose	arosef2@ycombinator.com	Male	Online	139	8	7	6.7	6	2.56
544	Todd	Day	tdayf3@prweb.com	Male	Onsite	349	6	6	0.7	10	1.73
545	Martha	Fowler	mfowlerf4@timesonline.co.uk	Female	Online	330	5	3	5.7	10	1.57
546	Steven	Shaw	sshawf5@toplist.cz	Male	Online	208	0	4	7.1	10	3.17
547	Steve	Jordan	sjordanf6@pcworld.com	Male	Onsite	188	1	7	1.6	5	1.27
548	Helen	Gray	hgrayf7@cnet.com	Female	Online	334	10	9	14.0	10	3.36
549	Linda	Young	lyoungf8@illinois.edu	Female	Online	346	8	5	6.5	5	3.0
550	Andrea	Gilbert	agilbertf9@4shared.com	Female	Onsite	39	8	6	11.5	0	2.86
551	Cynthia	Barnes	cbarnesfa@mail.ru	Female	Onsite	89	5	5	10.0	1	4.55
552	Justin	Weaver	jweaverfb@usnews.com	Male	Onsite	313	7	6	8.6	3	4.05
553	Frank	Jenkins	fjenkinsfc@bloomberg.com	Male	Onsite	109	8	10	1.5	7	1.23
554	Lillian	Gibson	lgibsonfd@360.cn	Female	Online	51	6	7	6.2	5	2.24
555	Kimberly	Evans	kevansfe@creativecommons.org	Female	Online	204	10	10	13.9	7	4.81
556	Ronald	Cole	rcoleff@house.gov	Male	Onsite	232	7	1	11.8	5	2.29
557	Jose	Phillips	jphillipsfg@yelp.com	Male	Onsite	310	8	10	1.5	7	0.31
558	Joe	Ford	jfordfh@xrea.com	Male	Onsite	87	2	8	3.3	7	1.44
559	Ruby	Berry	rberryfi@ow.ly	Female	Online	19	5	10	4.1	3	3.48
560	Helen	Thompson	hthompsonfj@ustream.tv	Female	Online	370	0	6	14.6	5	0.55
561	Henry	Chapman	hchapmanfk@chronoengine.com	Male	Online	357	0	2	3.0	6	1.46
562	Rebecca	Gibson	rgibsonfl@mozilla.org	Female	Onsite	59	7	2	3.7	8	3.43
563	Rose	Rose	rrosefm@webs.com	Female	Online	55	0	5	8.0	1	2.91
564	Angela	Perkins	aperkinsfn@barnesandnoble.com	Female	Onsite	12	4	7	1.0	4	2.53
565	Anthony	Stone	astonefo@dedecms.com	Male	Onsite	5	7	6	7.3	6	4.86
566	Terry	Sanders	tsandersfp@opera.com	Male	Online	384	0	6	9.1	6	2.11
567	Douglas	Lawson	dlawsonfq@w3.org	Male	Online	190	4	6	1.8	1	0.04
568	Tammy	Nichols	tnicholsfr@bandcamp.com	Female	Onsite	146	2	1	2.1	8	4.65
569	Lillian	Payne	lpaynefs@devhub.com	Female	Onsite	339	0	2	9.3	0	1.87
570	Jennifer	Richards	jrichardsft@xing.com	Female	Onsite	286	5	9	2.1	3	4.15
571	Brandon	Thomas	bthomasfu@cnet.com	Male	Onsite	81	3	0	13.1	3	0.92
572	Anna	Bell	abellfv@microsoft.com	Female	Online	100	10	4	10.1	6	3.64
573	Philip	Perez	pperezfw@nature.com	Male	Online	39	2	8	2.1	9	4.89
574	Diana	Hanson	dhansonfx@squarespace.com	Female	Onsite	202	5	8	3.9	9	1.2
575	Howard	Tucker	htuckerfy@godaddy.com	Male	Onsite	282	2	1	7.7	10	3.03
576	Terry	Tucker	ttuckerfz@homestead.com	Male	Online	87	5	3	12.7	5	4.21
577	Paul	Watkins	pwatkinsg0@oakley.com	Male	Onsite	216	5	5	9.5	6	1.31
578	Arthur	Hernandez	ahernandezg1@rediff.com	Male	Onsite	161	1	4	6.2	10	4.29
579	Lawrence	Mason	lmasong2@chicagotribune.com	Male	Onsite	1	9	9	12.1	2	3.99
580	Theresa	Fox	tfoxg3@vkontakte.ru	Female	Online	268	1	4	4.2	0	1.91
581	Marilyn	Wallace	mwallaceg4@examiner.com	Female	Onsite	97	0	7	9.2	5	3.07
582	Susan	Kelly	skellyg5@adobe.com	Female	Online	56	3	7	10.5	1	1.53
583	Matthew	Austin	mausting6@aboutads.info	Male	Online	282	0	1	5.3	7	2.98
584	Anthony	Garza	agarzag7@patch.com	Male	Onsite	316	8	7	4.6	4	1.87
585	Robert	Harrison	rharrisong8@google.cn	Male	Online	21	3	0	11.1	5	2.4
